id,company,latitude,longitude,SIC,rev,norm_rev
525,Alaska Air Group,47.461266,-122.290777,Other,5368000000,0.0110532048734585
714,Harman International Industries,41.049742,-73.538894,Other,5348000000,0.0110120230371192
544,Amphenol,41.460344,-72.833348,Other,5346000000,0.0110079048534853
882,Realogy Holdings,40.771426,-74.422889,Other,5328000000,0.01097084120078
675,Essendant,42.171137,-87.844512,Other,5327000000,0.010968782108963
712,Hanesbrands,36.189008,-80.263962,Other,5325000000,0.0109646639253291
553,ARRIS Group,34.064568,-84.154925,Other,5323000000,0.0109605457416952
739,Insight Enterprises,33.358229,-111.968253,Other,5316000000,0.0109461320989764
529,Alliance Data Systems,33.081018,-96.823573,Business Services,5303000000,0.0109193639053559
809,Murphy Oil,33.214668,-92.6623,Petroleum and Coal Products,5289000000,0.0108905366199184
983,Wyndham Worldwide,40.845926,-74.438567,Other,5281000000,0.0108740638853827
843,Owens Corning,41.647265,-83.534407,Other,5276000000,0.0108637684262979
527,Alleghany,40.755459,-73.986905,Insurance Carriers,5232000000,0.0107731683863515
794,McGraw Hill Financial,40.703192,-74.009368,Business Services,5051000000,0.0104004727674812
759,Kindred Healthcare,38.246715,-85.759423,Other,5028000000,0.010353113655691
883,Regions Financial,33.51806,-86.808915,Depository Institutions,5021000000,0.0103387000129723
775,LifePoint Health,36.041555,-86.769134,Other,4483000000,0.00923090861544607
930,Thrivent Financial for Lutherans,44.975299,-93.266156,Insurance Carriers,4397000000,0.00905382671918724
860,Pioneer Natural Resources,32.870363,-96.939589,Other,4309000000,0.00887262663929447
878,Quintiles Transnational Holdings,35.880791,-78.840661,Other,4166000000,0.00857817650946873
740,Integrys Energy Group,43.037025,-87.913851,Other,4144000000,0.00853287648949554
520,Agilent Technologies,37.324885,-121.998874,Other,4048000000,0.00833520367506707
973,Western & Southern Financial Group,39.103197,-84.506488,Insurance Carriers,3293000000,0.00678058935325985
910,Starwood Hotels & Resorts,41.042079,-73.531563,Other,3272000000,0.00673734842510362
814,Navient,39.738454,-75.558954,Other,2874000000,0.00591782988195227
787,Marriott International,39.024787,-77.138026,Other,2741000000,0.00564397067029616
